kitsu_id,slug,status,title_canonical,title_en,title_ja,title_norm_canonical,title_norm_en,title_norm_ja,synopsis_clean,rating_average_raw,rating_average_10,rating_rank,popularity_rank,categories_json,genres_json,tags_all_json
68,hunter-x-hunter,current,Hunter x Hunter,Hunter x Hunter,HUNTER×HUNTER,hunter x hunter,hunter x hunter,hunterxhunter,"Hunters are a special breed, dedicated to tracking down treasures, magical beasts, and even other men. But such pursuits require a license, and less than one in a hundred thousand can pass the grueling qualification exam. Those who do pass gain access to restricted areas, amazing stores of information, and the right to call themselves Hunters.",84.33,8.43,19,11,"[""Action"", ""Adventure"", ""Fantasy"", ""Fantasy World"", ""Psychological"", ""Shounen"", ""Super Power""]","[""Action"", ""Adventure"", ""Fantasy"", ""Psychological"", ""Super Power""]","[""Action"", ""Adventure"", ""Fantasy"", ""Fantasy World"", ""Psychological"", ""Shounen"", ""Super Power""]"
78,ouran-koukou-host-club,finished,Ouran Koukou Host Club,Ouran High School Host Club,桜蘭高校ホスト部,ouran koukou host club,ouran high school host club,ying lan gao xiao hosutobu,"Haruhi sticks out like a sore thumb as a poor, smart girl who got into the hoity-toity Ouran High School on talent alone. When she mistakenly wanders into the meeting room of the host club and breaks a valuable vase, she's recruited to join the club. Realistic and sarcastic, Haruhi isn't used to being around crazy people like the princely Tamaki, scheming Kyouya, silent Mori, immature Hunny, and devilish Hikaru and Kaoru, but she's got no choice if she ever wants to pay earn what she owes. Too bad the club is made for girls to come and be entertained by gorgeous guys -- and Haruhi's been mistaken for a boy! Includes chapters of the story ""Romantic Egoist"" in various volumes, starring a pair of twins who play matchmaker with their fellow students, teachers and the like. Note: The final volume contains a special bonus chapter where the group travels to Spain.",82.42,8.24,173,47,"[""Comedy"", ""Drama"", ""Gender Bender"", ""Reverse Harem"", ""Romance"", ""School Life""]","[""Comedy"", ""Drama"", ""Gender Bender"", ""Harem"", ""Romance"", ""School""]","[""Comedy"", ""Drama"", ""Gender Bender"", ""Harem"", ""Reverse Harem"", ""Romance"", ""School"", ""School Life""]"
111,dragon-ball,finished,Dragon Ball,Dragon Ball,ドラゴンボール,dragon ball,dragon ball,doragonbo ru,"Dragon Ball follows the adventures of Son Goku from his childhood through adulthood as he trains in martial arts and explores the world in search of the seven mystical orbs known as the Dragon Balls, which can summon a wish-granting dragon when gathered. Along his journey, Goku makes several friends and battles a wide variety of villains, many of whom also seek the Dragon Balls for their own desires. Along the way becoming the strongest warrior in the universe. Part II of Dragon Ball is also known as 'Dragon Ball Z' in North America. Volumes 17-42 were published in North America under the name Dragon Ball Z.",83.34,8.33,51,29,"[""Action"", ""Adventure"", ""Comedy"", ""Martial Arts"", ""Science Fiction"", ""Shounen"", ""Super Power""]","[""Action"", ""Adventure"", ""Comedy"", ""Martial Arts"", ""Science Fiction"", ""Super Power""]","[""Action"", ""Adventure"", ""Comedy"", ""Martial Arts"", ""Science Fiction"", ""Shounen"", ""Super Power""]"
133,slam-dunk,finished,Slam Dunk,Slam Dunk,SLAM DUNK,slam dunk,slam dunk,slam dunk,"Winning isn't everything in the game of basketball, but who wants to come in second? It takes dedication and discipline to be the best, and the Shohoku High hoops team wants to be just that. They have one last year to make their captain's dream of reaching the finals come true--will they do it? Takehiko Inoue's legendary beloved basketball manga is finally here and the tale of a lifetime is in your hands. Hanamichi Sakuragi's got no game with girls--none at all! It doesn't help that he's known for throwing down at a moment's notice and always coming out on top. A hopeless bruiser, he's been rejected by 50 girls in a row! All that changes when he meets the girl of his dreams, Haruko, and she's actually not afraid of him! When she introduces him to the game of basketball, his life is changed forever... Included one-shot: Volume 31: Slam Dunk: 10 Days After",82.97,8.3,74,99,"[""Basketball"", ""Comedy"", ""School Clubs"", ""School Life"", ""Shounen"", ""Sports""]","[""Comedy"", ""Drama"", ""School"", ""Sports""]","[""Basketball"", ""Comedy"", ""Drama"", ""School"", ""School Clubs"", ""School Life"", ""Shounen"", ""Sports""]"
267,fruits-basket,finished,Fruits Basket,Fruits Basket,フルーツバスケット,fruits basket,fruits basket,huru tsubasuketsuto,"Tohru Honda is a high school freshman who is having a serious bout of misfortune. Not only was she recently orphaned with the tragedy of her mother's death, but she also has no where to live and is currently residing in a tent! However, when her luck to seems to be at its worse, she meets the Sohma family - and is invited to stay with them in exchange for taking care of the household chores. But it isn't long before Tohru discovers the Sohmas have deep a secret. The family is cursed by the spirits of the Chinese Zodiac, and some of the children born into the Sohma family are possessed by these spirits. When possessed, they cannot be ""huggled"" by the opposite sex, or they transform into their respective Zodiac animal! However, this doesn't phase Tohru, who promises to keep their secret. She continues living with them, and her grave humbleness and thankfulness never wanes. As a result, they come to be very important people in her life, and the Sohmas begin to realize how very lucky they are to have her.",82.45,8.25,159,65,"[""Angst"", ""Asia"", ""Bishounen"", ""Comedy"", ""Contemporary Fantasy"", ""Drama"", ""Earth"", ""Fantasy"", ""Female Student"", ""High School"", ""Japan"", ""Magic"", ""Present"", ""Reverse Harem"", ""Romance"", ""School Life"", ""Shoujo"", ""Slapstick"", ""Slice of Life""]","[""Comedy"", ""Drama"", ""Romance"", ""School"", ""Supernatural""]","[""Angst"", ""Asia"", ""Bishounen"", ""Comedy"", ""Contemporary Fantasy"", ""Drama"", ""Earth"", ""Fantasy"", ""Female Student"", ""High School"", ""Japan"", ""Magic"", ""Present"", ""Reverse Harem"", ""Romance"", ""School"", ""School Life"", ""Shoujo"", ""Slapstick"", ""Slice of Life"", ""Supernatural""]"
272,yotsubato,current,Yotsubato!,Yotsuba&!,よつばと!,yotsubato,yotsuba,yotsubato,"Yotsuba's daily life is full of adventure. She is energetic, curious, and a bit odd—odd enough to be called strange by her father as well as ignorant of many things that even a five-year-old should know. Because of this, the most ordinary experience can become an adventure for her. As the days progress, she makes new friends and shows those around her that every day can be enjoyable.",82.78,8.28,88,64,"[""Comedy"", ""Family"", ""Friendship"", ""Japan"", ""Seinen"", ""Slice of Life""]","[""Comedy"", ""Slice of Life"", ""Thriller""]","[""Comedy"", ""Family"", ""Friendship"", ""Japan"", ""Seinen"", ""Slice of Life"", ""Thriller""]"
906,kiseijuu,finished,Kiseijuu,Parasyte,寄生獣,kiseijuu,parasyte,ji sheng swu,"They arrive in silence and darkness. They descend from the skies. They have a hunger for human flesh. They are everywhere. They are parasites, alien creatures who must invade–and take control of–a human host to survive. And once they have infected their victims, they can assume any deadly form they choose: monsters with giant teeth, winged demons, creatures with blades for hands. But most have chosen to conceal their lethal purpose behind ordinary human faces. So no one knows their secret–except an ordinary high school student. Shin is battling for control of his own body against an alien parasite, but can he find a way to warn humanity of the horrors to come?",82.37,8.24,195,78,"[""Action"", ""Alien"", ""Drama"", ""Genetic Modification"", ""Horror"", ""Humanoid Alien"", ""Parasite"", ""Plot Continuity"", ""Psychological"", ""Science Fiction"", ""Seinen""]","[""Action"", ""Drama"", ""Horror"", ""Psychological"", ""Science Fiction"", ""Thriller""]","[""Action"", ""Alien"", ""Drama"", ""Genetic Modification"", ""Horror"", ""Humanoid Alien"", ""Parasite"", ""Plot Continuity"", ""Psychological"", ""Science Fiction"", ""Seinen"", ""Thriller""]"
983,uzumaki,finished,Uzumaki,Uzumaki Spiral into Horror,うずまき,uzumaki,uzumaki spiral into horror,uzumaki,"Kurozu-cho, a small fogbound town on the coast of Japan, is cursed. According to Shuichi Saito, the withdrawn boyfriend of teenager Kirie Goshima, their town is haunted not by a person or being but by a pattern: uzumaki, the spiral, the hypnotic secret shape of the world. It manifests itself in small ways: seashells, ferns, whirlpools in water, whirlwinds in air. And in large ways: the spiral marks on people's bodies, the insane obsessions of Shuichi's father, the voice from the cochlea in your inner ear. As the madness spreads, the inhabitants of Kurouzu-cho are pulled ever deeper, as if into a whirlpool from which there is no return... Chosen by the American Library Association (ALA) as one of the Top Ten Great Graphic Novels for Teens 2009. (Vol. 1)",79.14,7.91,1239,77,"[""Dementia"", ""Drama"", ""Horror"", ""Psychological"", ""Romance"", ""Seinen"", ""Supernatural""]","[""Dementia"", ""Drama"", ""Horror"", ""Psychological"", ""Romance"", ""Supernatural"", ""Thriller""]","[""Dementia"", ""Drama"", ""Horror"", ""Psychological"", ""Romance"", ""Seinen"", ""Supernatural"", ""Thriller""]"
1282,gantz,finished,Gantz,Gantz,GANTZ,gantz,gantz,gantz,"Thought your life was bad? Sometimes, death is worse. There is no salvation, peace, nor god waiting to receive you into their care. But wait, a god? Maybe you are talking about that big black ball stuck in the room with you. Now you are thrown into a game, fighting green aliens and robot monsters for the chance to survive. When Kei Kurono is killed, he thus finds himself caught in such a game; a test of his skills, morals and will to survive. His life is not his own, his death spat and trampled upon over and over again. What happens if he does not listen? God knows. A word of warning: Gantz is not for the faint-hearted, but neither is it as simple as it looks. Gore, rape and violence is rampant, as are portrayals of greed, violence, and all the ugliness that one sees in society today.",79.37,7.94,1164,81,"[""Action"", ""Alien"", ""Drama"", ""Ecchi"", ""Horror"", ""Psychological"", ""Science Fiction"", ""Seinen"", ""Thriller"", ""Violence""]","[""Action"", ""Drama"", ""Ecchi"", ""Gore"", ""Horror"", ""Psychological"", ""Science Fiction"", ""Supernatural"", ""Thriller""]","[""Action"", ""Alien"", ""Drama"", ""Ecchi"", ""Gore"", ""Horror"", ""Psychological"", ""Science Fiction"", ""Seinen"", ""Supernatural"", ""Thriller"", ""Violence""]"
1329,claymore,finished,Claymore,Claymore,CLAYMORE [クレイモア],claymore,claymore,claymore kureimoa,"In a world constantly haunted by demonic predators known as ""Youma"", the everyday life of humans is full of fear and suspicion, as these monsters easily blend into human society to hunt their hapless prey. However, in this world, there is also a mysterious organization, employing half-human, half-Youma warriors to effectively track down and kill the demons. Called ""silver eyed witches"" or ""Claymores"" after the huge Claymore swords they carry, these female warriors are eyed with suspicion and distrust by most because of their inhuman powers. But there are many currents flowing in the shadows, from the mysterious machinations of the Claymore ""Organization"" and the twisted ambitions of the powerful ""Abyssal Ones"" to the hopes and desires of each Claymore warrior. This story follows the fate of Clare, one of the Claymore operatives as she sails deeper and deeper down the currents of conspiracies and revenge. Note: 4 Extra chapters are included in the chapter count on this page.",81.92,8.19,479,75,"[""Action"", ""Adventure"", ""Angst"", ""Dark Fantasy"", ""Demon"", ""Drama"", ""Dystopia"", ""Fantasy"", ""Fantasy World"", ""Horror"", ""Past"", ""Plot Continuity"", ""Stereotypes"", ""Super Power"", ""Swordplay"", ""Violence""]","[""Action"", ""Adventure"", ""Fantasy"", ""Horror""]","[""Action"", ""Adventure"", ""Angst"", ""Dark Fantasy"", ""Demon"", ""Drama"", ""Dystopia"", ""Fantasy"", ""Fantasy World"", ""Horror"", ""Past"", ""Plot Continuity"", ""Stereotypes"", ""Super Power"", ""Swordplay"", ""Violence""]"
