kitsu_id,slug,status,title_canonical,title_en,title_ja,title_norm_canonical,title_norm_en,title_norm_ja,synopsis_clean,rating_average_raw,rating_average_10,rating_rank,popularity_rank,categories_json,genres_json,tags_all_json
1361,fairy-tail,finished,Fairy Tail,Fairy Tail,FAIRY TAIL,fairy tail,fairy tail,fairy tail,"In the mystical realm of Earth Land, magic exists at the core of everyday life for its inhabitants, from transportation to utilities and everything in between. However, even with all its benefits, magic can also be used for great evil; therefore, to prevent dark forces from upsetting the natural order of things, there exists a system of magical guilds in the Kingdom of Fiore. Under the command of their respective guild masters, these guilds are made up of witches and wizards who take on various job requests to earn fame and fortune. One particular guild stands high above the rest in both strength and spirit, and its name is Fairy Tail. In his quest to find his dragon foster father—Igneel—Natsu Dragneel, a fiery and reckless mage, and his partner Happy run into a young celestial mage by the name of Lucy Heartfilia, who reveals that it's her dream to become a full-fledged wizard and join the Fairy Tail guild. After rescuing her from an abduction attempt, Natsu offers her a home in Fairy Tail. Now a member of the guild, Lucy teams up with Natsu and befriends fellow wizards Gray Fullbuster and Erza ""Titania"" Scarlet. Together, this motley crew set out on their many adventures, gaining many faithful allies and deadly foes along the way.",77.59,7.76,1953,48,"[""Action"", ""Adventure"", ""Comedy"", ""Ecchi"", ""Fantasy"", ""Magic"", ""Shounen"", ""Sports"", ""Super Power""]","[""Action"", ""Adventure"", ""Comedy"", ""Ecchi"", ""Fantasy"", ""Magic"", ""Sports"", ""Super Power""]","[""Action"", ""Adventure"", ""Comedy"", ""Ecchi"", ""Fantasy"", ""Magic"", ""Shounen"", ""Sports"", ""Super Power""]"
1388,skip-beat,current,Skip Beat!,Skip Beat!,スキップ・ビート！,skip beat,skip beat,sukitsupu bi to,"Kyoko Mogami followed her true love Sho to Tokyo to support him while he made it big as an idol. But he’s casting her out now that he’s famous enough! Kyoko won’t suffer in silence—she’s going to get her sweet revenge by beating Sho in show biz! Kyoko’s broken heart and creepy rage keeps her from getting into her talent agency of choice. The eccentric president of the agency decides to give her a second chance, but it requires her to wear a bright pink uniform, put up with spoiled stars, and try to live up to the name of her new position—The Love Me Section! Can Kyoko stand the indignity long enough to find her vengeance?",82.32,8.23,246,161,"[""Comedy"", ""Drama"", ""Romance"", ""Shoujo""]","[""Comedy"", ""Drama"", ""Romance""]","[""Comedy"", ""Drama"", ""Romance"", ""Shoujo""]"
1456,vinland-saga,finished,Vinland Saga,Vinland Saga,ヴィンランド・サガ,vinland saga,vinland saga,vuinrando saga,"As a child, Thorfinn sat at the feet of the great Leif Ericson and thrilled to wild tales of a land far to the west. But his youthful fantasies were shattered by a mercenary raid. Raised by the Vikings who murdered his father, Thorfinn became a terrifying warrior, forever seeking to kill the band's leader, Askeladd, and avenge his father. Sustaining Thorfinn through his ordeal are his pride in his family and his dreams of a fertile westward land, a land without war or slavery … the land Leif called Vinland. Notes: - Won the Grand Prize at the Japan Media Arts Festival in 2009. - Winner of the 36th Kodansha Manga Award in the General category in 2012.",83.64,8.36,39,44,"[""Action"", ""Adventure"", ""Coming Of Age"", ""Drama"", ""Europe"", ""Historical"", ""Past"", ""Plot Continuity"", ""Revenge"", ""Seinen"", ""War""]","[""Action"", ""Adventure"", ""Drama"", ""Historical"", ""Thriller""]","[""Action"", ""Adventure"", ""Coming Of Age"", ""Drama"", ""Europe"", ""Historical"", ""Past"", ""Plot Continuity"", ""Revenge"", ""Seinen"", ""Thriller"", ""War""]"
1482,vagabond,finished,Vagabond,Vagabond,バガボンド,vagabond,vagabond,bagabondo,"In 16th century Japan, Shinmen Takezou is a wild, rough young man, in both his appearance and his actions. His aggressive nature has won him the collective reproach and fear of his village, leading him and his best friend, Matahachi Honiden, to run away in search of something grander than provincial life. The pair enlist in the Toyotomi army, yearning for glory—but when the Toyotomi suffer a crushing defeat at the hands of the Tokugawa Clan at the Battle of Sekigahara, the friends barely make it out alive. After the two are separated, Shinmen returns home on a self-appointed mission to notify the Hon'iden family of Matahachi's survival. He instead finds himself a wanted criminal, framed for his friend's supposed murder based on his history of violence. Upon being captured, he is strung up on a tree and left to die. An itinerant monk, the distinguished Takuan Soho, takes pity on the ""devil child,"" secretly freeing Shinmen and christening him with a new name to avoid pursuit by the authorities: Musashi Miyamoto. Vagabond is the fictitious retelling of the life of one of Japan's most renowned swordsmen, the ""Sword Saint"" Musashi Miyamoto—his rise from a swordsman with no desire other than to become ""Invincible Under the Heavens"" to an enlightened warrior who slowly learns of the importance of close friends, self-reflection, and life itself.",83.96,8.4,30,41,"[""Action"", ""Adventure"", ""Drama"", ""Historical"", ""Japan"", ""Samurai"", ""Sengoku Period"", ""Swordplay""]","[""Action"", ""Adventure"", ""Drama"", ""Historical"", ""Samurai""]","[""Action"", ""Adventure"", ""Drama"", ""Historical"", ""Japan"", ""Samurai"", ""Sengoku Period"", ""Swordplay""]"
1484,real,current,Real,Real,リアル,real,real,riaru,"A motorcycle accident, bone cancer, a speeding truck crashing into a boy on a stolen bicycle—tragic life-changing events turn the worlds of three young men upside down. These three very different personalities have only one thing in common—their passion for basketball. Note: Won an Excellence Prize for manga at the 2001 Japan Media Arts Festival.",82.8,8.28,86,260,"[""Basketball"", ""Drama"", ""Psychological"", ""Slice of Life"", ""Sports""]","[""Drama"", ""Psychological"", ""Sports""]","[""Basketball"", ""Drama"", ""Psychological"", ""Slice of Life"", ""Sports""]"
1554,shokugeki-no-souma,finished,Shokugeki no Souma,Food Wars: Shokugeki no Soma,食戟のソーマ,shokugeki no souma,food wars shokugeki no soma,shi ji noso ma,"Soma Yukihira's old man runs a small family restaurant in the less savory end of town. Aiming to one day surpass his father's culinary prowess, Soma hones his skills day in and day out until one day, out of the blue, his father decides to enroll Soma in a classy culinary school! Can Soma really cut it in a place that prides itself on a 10 percent graduation rate? And can he convince the beautiful, domineering heiress to the school that he belongs there at all?! Note: The 3 chapter Le dessert epilogue is counted as chapters 316-318",82.47,8.25,150,22,"[""Comedy"", ""Cooking"", ""Ecchi"", ""Japan"", ""Present"", ""School Life"", ""Shounen""]","[""Comedy"", ""Ecchi"", ""Food"", ""School""]","[""Comedy"", ""Cooking"", ""Ecchi"", ""Food"", ""Japan"", ""Present"", ""School"", ""School Life"", ""Shounen""]"
1984,soul-eater,finished,Soul Eater,Soul Eater,SOUL EATER,soul eater,soul eater,soul eater,"In a world where technicians wield the select humans who can turn into weapons, Shinigami-sama created a school to teach young technicians and their shape shifting partners what it means to be a just death god. In order to create the ultimate weapon, the students of the school must collect the souls of 99 evil humans and 1 witch.",81.18,8.12,661,83,"[""Action"", ""Comedy"", ""Ecchi"", ""Fantasy"", ""Shounen""]","[""Action"", ""Comedy"", ""Ecchi"", ""Fantasy"", ""Supernatural""]","[""Action"", ""Comedy"", ""Ecchi"", ""Fantasy"", ""Shounen"", ""Supernatural""]"
2299,detective-conan,current,Case Closed,Detective Conan,名探偵コナン,case closed,detective conan,ming tan zhen konan,"Kudo Shinichi is a seventeen year-old high school detective whom people call the ""Modern Sherlock Holmes."" However, one night after a date with his childhood sweetheart, Ran, Shinichi witnessed an illegal trade and, caught off his guard, was knocked unconscious and fed a drug that was supposed to kill him... but he woke up and found himself shrunken to a seven year-old. In order to track down the men who did this to him, Shinichi hid his identity and lived with Ran, whose father happened to be a hopeless detective, and with that came a series of murders and mysteries that he must solve.",82.36,8.24,203,293,"[""Action"", ""Adventure"", ""Comedy"", ""Cops"", ""Crime"", ""Detective"", ""Elementary School"", ""Friendship"", ""Mystery"", ""Psychological"", ""Romance"", ""Shounen"", ""Thievery"", ""Violence""]","[""Adventure"", ""Comedy"", ""Mystery"", ""Police"", ""Psychological"", ""Romance""]","[""Action"", ""Adventure"", ""Comedy"", ""Cops"", ""Crime"", ""Detective"", ""Elementary School"", ""Friendship"", ""Mystery"", ""Police"", ""Psychological"", ""Romance"", ""Shounen"", ""Thievery"", ""Violence""]"
2435,dorohedoro,finished,Dorohedoro,Dorohedoro,ドロヘドロ,dorohedoro,dorohedoro,dorohedoro,"In a city so dismal it's known only as ""the Hole,"" a clan of Sorcerers have been plucking people off the streets to use as guinea pigs for atrocious ""experiments"" in the black arts. In a dark alley, Nikaido found Caiman, a man with a reptile head and a bad case of amnesia. To undo the spell, they're hunting and killing the Sorcerers in the Hole, hoping that eventually they'll kill the right one. But when En, the head Sorcerer, gets word of a lizard-man slaughtering his people, he sends a crew of ""cleaners"" into the Hole, igniting a war between two worlds.",82.7,8.27,101,98,"[""Action"", ""Adventure"", ""Comedy"", ""Fantasy"", ""Horror"", ""Magic"", ""Mystery"", ""Psychological"", ""Seinen"", ""Supernatural""]","[""Action"", ""Adventure"", ""Comedy"", ""Fantasy"", ""Horror""]","[""Action"", ""Adventure"", ""Comedy"", ""Fantasy"", ""Horror"", ""Magic"", ""Mystery"", ""Psychological"", ""Seinen"", ""Supernatural""]"
2704,3-gatsu-no-lion,current,3-gatsu no Lion,March Comes in Like a Lion,3月のライオン,3 gatsu no lion,march comes in like a lion,3yue noraion,"A youth named Kiriyama Rei, who lost his family as a child, endures loneliness to become a professional shogi player. Then, through a chance meeting, he develops a relationship with the three Kawamoto sisters, who hail from a working-class district of the city, and little by little his frozen heart begins to thaw.",82.65,8.27,107,235,"[""Coming Of Age"", ""Drama"", ""Family"", ""School Clubs"", ""Seinen"", ""Slice of Life"", ""Sports""]","[""Drama"", ""Game"", ""Slice of Life"", ""Thriller""]","[""Coming Of Age"", ""Drama"", ""Family"", ""Game"", ""School Clubs"", ""Seinen"", ""Slice of Life"", ""Sports"", ""Thriller""]"
2811,nisekoi,finished,Nisekoi,Nisekoi: False Love,ニセコイ,nisekoi,nisekoi false love,nisekoi,"As a child, Raku Ichijo made a secret promise with his childhood sweetheart, keeping a pendant as a memento while his love took the key. He dreams of one day meeting his past love, but years later, reality smashes his hopes when Chitoge Kirisaki accidentally knees him in the face... Though Raku’s a normal high schooler, his family heads the notorious yakuza gang the Shuei-Gumi faction! And he’s dragged into family affairs when he’s forced into a relationship with Chitoge, the daughter of a rival gang’s boss! Despite their constant spats, the two somehow fool everyone with their false relationship. Raku then discovers that Chitoge has a mysterious key from her past, which she can’t remember... Plus, two other girls appear with keys as well—Kosaki Onodera and Marika Tachibana! Caught in the midst of this love maelstrom, even more complications arise for Raku when his class decides on Romeo and Juliet as the class’s play for the school festival. Can the two false lovebirds pull off the impossible and make the play a success?",76.13,7.61,2900,80,"[""Comedy"", ""Harem"", ""Romance"", ""School Life"", ""Shounen""]","[""Comedy"", ""Harem"", ""Romance"", ""School""]","[""Comedy"", ""Harem"", ""Romance"", ""School"", ""School Life"", ""Shounen""]"
3480,kingdom,current,Kingdom,Kingdom,キングダム,kingdom,kingdom,kingudamu,"Millions of years have passed since the times of legends, when the worlds of man and gods were still the same. In these times it was the desires of man that moved the world. It is the period of the 500 year war: the Era of Warring States. Kingdom is the story of a young boy who grew into a great general and all the trials and bloodshed that led him there.",82.72,8.27,95,103,"[""Action"", ""Conspiracy"", ""Drama"", ""Historical"", ""Military"", ""Politics"", ""Seinen"", ""Swordplay"", ""Thriller"", ""War""]","[""Action"", ""Drama"", ""Historical"", ""Military"", ""Thriller""]","[""Action"", ""Conspiracy"", ""Drama"", ""Historical"", ""Military"", ""Politics"", ""Seinen"", ""Swordplay"", ""Thriller"", ""War""]"
3625,jojo-s-bizarre-adventure-part-7-steel-ball-run,finished,JoJo's Bizarre Adventure Part 7: Steel Ball Run,JoJo's Bizarre Adventure Part 7: Steel Ball Run,ジョジョの奇妙な冒険 Part7 STEEL BALL RUN,jojo s bizarre adventure part 7 steel ball run,jojo s bizarre adventure part 7 steel ball run,ziyoziyonoqi miao namou xian part7 steel ball run,"America, 1890. The longest and most significant race ever, the Steel Ball Run, is about to start. It's a race from San Diego, California, to New York City, New York, and while horses are the traditional racing medium, anything can be used. The winner is the one with the most points, via checkpoint placement, when they reach New York—the prize: $2,000,000. Gyro Zeppelli, a mysterious man with an equally mysterious steel ball, is planning on winning the race. Johnny Joestar (JoJo) is a former jockey who's cockiness got him paralyzed from the legs down. An accidental contact with the steel ball made his leg twitch, so he's in the race the learn about Gyro's steel ball. But the challenges of Diego Brando, a popular European jockey, Pocoloco, a slave with the Devil's Luck, Sandman, a native american who is sprinting all the way to NYC, and others will make it hard for Gyro and JoJo to win.",83.79,8.38,37,57,"[""Action"", ""Adventure"", ""Fantasy"", ""Historical"", ""Horror"", ""Mystery"", ""Shounen"", ""Thriller""]","[""Action"", ""Adventure"", ""Historical"", ""Horror"", ""Mystery"", ""Supernatural"", ""Thriller""]","[""Action"", ""Adventure"", ""Fantasy"", ""Historical"", ""Horror"", ""Mystery"", ""Shounen"", ""Supernatural"", ""Thriller""]"
5927,no-game-no-life-novel,current,No Game No Life,No Game No Life,ノーゲーム・ノーライフ,no game no life,no game no life,no ge mu no raihu,"Meet Sora and Shiro, a brother and sister who are loser shut-ins by normal standards. But these siblings don't play by the rules of the ""crappy game"" that is average society. In the world of gaming, this genius pair reigns supreme, their invincible avatar so famous that it's the stuff of urban legend. So when a young boy calling himself God summons the siblings to a fantastic alternate world where war is forbidden and all conflicts - even those involving national borders - are decided by the outcome of games, Sora and Shiro have pretty much hit the jackpot. But they soon learn that in this world, humanity, cornered and outnumbered by other species, survives within the confines of one city. Will Sora and Shiro, two failures at life, turn out to be the saviors of mankind? Let the games begin...!",82.5,8.25,142,36,"[""Adventure"", ""Comedy"", ""Ecchi"", ""Fantasy""]","[""Adventure"", ""Comedy"", ""Ecchi"", ""Fantasy"", ""Supernatural""]","[""Adventure"", ""Comedy"", ""Ecchi"", ""Fantasy"", ""Supernatural""]"
6157,koe-no-katachi,finished,Koe no Katachi,A Silent Voice,聲の形,koe no katachi,a silent voice,sheng noxing,"Nishimiya Shouko is a student with hearing impairment. During elementary school, after moving to a new school, Shouko becomes a target of bullying and soon has to transfer. What she did not expect is that some years later, Ishida Shouya, one of the bullies who both did suffer last arise again in your life with a new purpose.",83.05,8.3,65,37,"[""Coming Of Age"", ""Drama"", ""Japan"", ""Present"", ""School Life""]","[""Drama"", ""School""]","[""Coming Of Age"", ""Drama"", ""Japan"", ""Present"", ""School"", ""School Life""]"
6182,kaichou-wa-maid-sama,finished,Kaichou wa Maid-sama!,Maid-Sama!,会長はメイド様！,kaichou wa maid sama,maid sama,hui chang hameidoyang,"The class president has a little secret she's keeping from everyone in her high school. As President of the Student Council, the overachieving feminist Misaki really socks it to the guys in an attempt to make the former all-boys' school attract a more female student body. But what will she do when the most awesome boy in class finds out Misaki's part-time job is in a maid café?! It's love at first fight in this shojo romantic comedy—with a whole new look at the battle between the genres!",82.54,8.25,134,31,"[""Comedy"", ""Maid"", ""Romance"", ""School Life""]","[""Comedy"", ""Romance"", ""School""]","[""Comedy"", ""Maid"", ""Romance"", ""School"", ""School Life""]"
6490,pandora-hearts,finished,Pandora Hearts,Pandora Hearts,PandoraHearts,pandora hearts,pandora hearts,pandorahearts,"The air of celebration surrounding fifteen-year-old Oz Vessalius’s coming-of-age ceremony quickly turns to horror when he is condemned for a sin about which he knows nothing. He is thrown into the eternal prison known as the Abyss, from which there is no escape. There, he meets a young girl named Alice, who is not what she seems. Now that the relentless cogs of fate have begun to turn, do they lead only to crushing despair for Oz, or is there some shred of hope for him to grasp on to? Included one-shot: Volume 8: Pandora Hearts (pilot)",82.42,8.24,174,79,"[""Adventure"", ""Contemporary Fantasy"", ""Fantasy"", ""Sports""]","[""Adventure"", ""Fantasy"", ""Mystery"", ""Sports"", ""Supernatural""]","[""Adventure"", ""Contemporary Fantasy"", ""Fantasy"", ""Mystery"", ""Sports"", ""Supernatural""]"
7176,tokyo-ghoul-m,finished,Tokyo Ghoul,Tokyo Ghoul,東京喰種トーキョーグール,tokyo ghoul,tokyo ghoul,dong jing can zhong to kiyo gu ru,"Shy Ken Kaneki is thrilled to go on a date with the beautiful Rize. But it turns out that she’s only interested in his body—eating it, that is. When a morally questionable rescue transforms him into the first half-human half-Ghoul hybrid, Ken is drawn into the dark and violent world of Ghouls, which exists alongside our own. Note: Includes 1 extra chapter.",84.16,8.42,22,2,"[""Action"", ""Drama"", ""Horror"", ""Mystery"", ""Psychological"", ""Seinen"", ""Supernatural""]","[""Action"", ""Drama"", ""Horror"", ""Mystery"", ""Psychological"", ""Supernatural"", ""Thriller""]","[""Action"", ""Drama"", ""Horror"", ""Mystery"", ""Psychological"", ""Seinen"", ""Supernatural"", ""Thriller""]"
7375,kimi-ni-todoke,finished,Kimi ni Todoke,Kimi ni Todoke: From Me to You,君に届け,kimi ni todoke,kimi ni todoke from me to you,jun nijie ke,"Kuronuma Sawako is completely misunderstood by her classmates. Her timid and sweet demeanor is often mistaken for malicious behavior. This is due to her resemblance to the ghost girl from ""The Ring"", which has led her peers to give her the nickname Sadako. Longing to make friends and live a normal life, she is naturally drawn to Kazehaya Shouta, the most popular guy in class, whose ""100% refreshing"" personality earns him great admiration from Sawako. So when Kazehaya starts talking to her, maybe there is hope for the friendships Sawako has always longed for. Maybe...there is even a little hope for some romance in her future.",82.43,8.24,172,85,"[""Drama"", ""Friendship"", ""High School"", ""Romance"", ""School Life"", ""Shoujo"", ""Slice of Life"", ""Slow When It Comes To Love""]","[""Romance"", ""School"", ""Slice of Life""]","[""Drama"", ""Friendship"", ""High School"", ""Romance"", ""School"", ""School Life"", ""Shoujo"", ""Slice of Life"", ""Slow When It Comes To Love""]"
8549,kuroshitsuji,current,Kuroshitsuji,Black Butler,黒執事,kuroshitsuji,black butler,hei zhi shi,"In Victorian era Europe, a young boy loses everything he once held near and dear to a vicious plot. In his moment of death, he strikes a deal with a demon: his soul, in exchange for revenge. Ciel Phantomhive is now the head of the Phantomhive corporation, handling all business affairs as well as the underground work for the Queen of England. His new partner is a demon butler, Sebastian Michaelis, whose prowess as a butler is only surpassed by his strength as a demon. The story follows the two along with their other servants, as they work to unravel the plot behind Ciel's parents' murder, and the horrendous tragedies that befell Ciel in the month directly after.",83.2,8.32,59,21,"[""Comedy"", ""Demon"", ""Fantasy"", ""Shounen""]","[""Action"", ""Comedy"", ""Demons"", ""Fantasy"", ""Historical"", ""Mystery"", ""Supernatural""]","[""Action"", ""Comedy"", ""Demon"", ""Demons"", ""Fantasy"", ""Historical"", ""Mystery"", ""Shounen"", ""Supernatural""]"
8777,deadman-wonderland,finished,Deadman Wonderland,Deadman Wonderland,デッドマン・ワンダーランド,deadman wonderland,deadman wonderland,detsudoman wanda rando,"Ten years have passed since the Great Tokyo Earthquake, and the people's memories of the disaster have faded. Ganta Igarashi, a middle school evacuee, has finally begun to live a normal life...That is, until the day ""Red Man"" appears at his school and Ganta's fate is changed forever. His entire class is brutally murdered, and although innocent of the crime, Ganta is sentenced to death and sent to the bizarre prison known as ""Deadman Wonderland."" An insane and brutal game of prison survival begins!",79.04,7.9,1282,73,"[""Action"", ""Adventure"", ""Drama"", ""Fantasy"", ""Science Fiction"", ""Shounen""]","[""Action"", ""Adventure"", ""Drama"", ""Science Fiction"", ""Supernatural""]","[""Action"", ""Adventure"", ""Drama"", ""Fantasy"", ""Science Fiction"", ""Shounen"", ""Supernatural""]"
9855,akagami-no-shirayuki-hime,current,Akagami no Shirayuki-hime,Snow White with the Red Hair,赤髪の白雪姫,akagami no shirayuki hime,snow white with the red hair,chi fa nobai xue ji,"Shirayuki was a young girl born with unique apple-red hair. She meets a famous but foolish Prince Raji, who falls in love with her at first sight and orders her to become his concubine. With nowhere else to go, Shirayuki cuts her hair and escapes to a neighboring country. While traversing through the forests, she meets a young boy, Zen, who helps her after she boldly cures his wounds but then gets poisoned by an apple given to Shirayuki. Meanwhile, Prince Raji sends out henchmen to search for her. What will happen to Shirayuki? What is Zen’s true character? A refreshing fantasy story between an optimistic heroine and a prince who constantly stays on her watch. Included one-shots: Volume 1: Hachigatsu no Shikisai (Four-season Color of August) Volume 2: Bokura wo Tsunaide. (Bind Us)",82.45,8.25,160,74,"[""Drama"", ""Fantasy"", ""Historical"", ""Romance""]","[""Drama"", ""Fantasy"", ""Historical"", ""Romance""]","[""Drama"", ""Fantasy"", ""Historical"", ""Romance""]"
9964,oyasumi-punpun,finished,Oyasumi Punpun,Goodnight Punpun,おやすみプンプン,oyasumi punpun,goodnight punpun,oyasumipunpun,"Punpun is an ordinary young boy growing up in Japan whose age of innocence has reached its end after his father is arrested for spousal abuse and putting his mother in the hospital. With his uncle looking after him, Punpun grows into adulthood facing a series of events which change him, for better or worse, forcing him to contemplate just what it means to be an adult.",83.06,8.31,63,32,"[""Coming Of Age"", ""Drama"", ""Psychological"", ""Slice of Life""]","[""Drama"", ""Psychological"", ""Slice of Life""]","[""Coming Of Age"", ""Drama"", ""Psychological"", ""Slice of Life""]"
10022,fullmetal-alchemist-novel,finished,Fullmetal Alchemist,Fullmetal Alchemist,鋼の錬金術師,fullmetal alchemist,fullmetal alchemist,gang nolian jin shu shi,"Somewhere between magic, art and science exists a world of alchemy. And into this world travel Edward and Alphonse Elric—two brothers in search of the Philosopher's Stone, the ultimate alchemical treasure!",82.57,8.26,127,51,"[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Fantasy"", ""Historical"", ""Mystery"", ""Psychological"", ""Shounen""]","[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Historical"", ""Mystery"", ""Psychological"", ""Supernatural""]","[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Fantasy"", ""Historical"", ""Mystery"", ""Psychological"", ""Shounen"", ""Supernatural""]"
10979,dengeki-daisy,finished,Dengeki Daisy,Dengeki Daisy,電撃デイジー,dengeki daisy,dengeki daisy,dian ji deizi,"Before he died, Kurebayashi Teru's brother gave her only a cell phone, telling her to contact ""Daisy"" if she ever needs someone to talk to. Now, even though she lives alone and without relatives, Teru never feels lonely because Daisy is her constant confidant and supporter. In order to pay off a debt, Teru finds herself needing to work for the rude, inconsiderate, and abusive (not to mention quite handsome) school janitor, Kurosaki Tasuku. While her predicament seems on the opposite spectrum of her relationship with Daisy, maybe Teru's two different worlds are more closely connected than she thought? Included one-shot: Volume 16: Hetakuso Cupid (The Hopeless Cupid)",82.26,8.23,306,92,"[""Comedy"", ""Drama"", ""Romance""]","[""Comedy"", ""Drama"", ""Romance""]","[""Comedy"", ""Drama"", ""Romance""]"
11152,akatsuki-no-yona,current,Akatsuki no Yona,Yona of the Dawn,暁のヨナ,akatsuki no yona,yona of the dawn,xiao noyona,"Princess Yona lives an ideal life as the only princess of her kingdom. Doted on by her father, the king, and protected by her faithful guard Hak, she cherishes the time spent with the man she loves, Su-won. But everything changes on her 16th birthday when tragedy strikes her family!",82.54,8.25,133,62,"[""Action"", ""Adventure"", ""Comedy"", ""Fantasy"", ""Friendship"", ""Romance"", ""Shoujo""]","[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Fantasy"", ""Friendship"", ""Romance"", ""Supernatural""]","[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""Fantasy"", ""Friendship"", ""Romance"", ""Shoujo"", ""Supernatural""]"
11777,yamada-kun-to-7-nin-no-majo,finished,Yamada-kun to 7-nin no Majo,Yamada-kun and the Seven Witches,山田くんと7人の魔女,yamada kun to 7 nin no majo,yamada kun and the seven witches,shan tian kunto7ren nomo nu,"Ryuu Yamada is a second-year student at Suzaku High. Ryuu is always late for school, naps in class and gets abysmal grades. His life is a dead bore. The beautiful Urara Shiraishi, on the other hand, is Suzaku High's brightest student. One day, without explanation, their bodies are swapped! Ryuu ends up in Urara's body, and Urara in Ryuu's. Includes the side stories Muramura and Sobasshi no Ryouri Yacchimauzo★",79.76,7.98,1036,87,"[""Comedy"", ""Drama"", ""Ecchi"", ""Fantasy"", ""Gender Bender"", ""Mystery"", ""Romance"", ""School Life"", ""Shounen"", ""Slice of Life"", ""Supernatural""]",[],"[""Comedy"", ""Drama"", ""Ecchi"", ""Fantasy"", ""Gender Bender"", ""Mystery"", ""Romance"", ""School Life"", ""Shounen"", ""Slice of Life"", ""Supernatural""]"
12619,haikyuu,finished,Haikyuu!!,Haikyu!!,ハイキュー!!,haikyuu,haikyu,haikiyu,"Ever since he saw the legendary player known as the ""Little Giant"" compete at the national volleyball finals, Shoyo Hinata has been aiming to be the best volleyball player ever! He decides to join the team at the high school the Little Giant went to-and then surpass him. Who says you need to be tall to play volleyball when you can jump higher than anyone else? After losing his first and last volleyball match against Tobio Kageyama, ""the King of the Court,"" Shoyo Hinata swears to become his rival after graduating middle school. But what happens when the guy he wants to defeat ends up being his teammate?! Note: Includes 2 extra chapters.",84.34,8.43,18,14,"[""Comedy"", ""Friendship"", ""School Clubs"", ""School Life"", ""Shounen"", ""Sports""]","[""Comedy"", ""Drama"", ""School"", ""Sports""]","[""Comedy"", ""Drama"", ""Friendship"", ""School"", ""School Clubs"", ""School Life"", ""Shounen"", ""Sports""]"
13243,orange,finished,Orange,orange,orange,orange,orange,orange,"Everyone has regrets in life. So who wouldn't take the chance to change the past if given the opportunity? When sixteen-year-old Takamiya Naho receives a mysterious letter, claiming to be from her twenty-seven-year-old self, her life is suddenly thrown into flux. The letter tells her that a new transfer student by the name of Naruse Kakeru will be joining her class, and to keep her eye on him. But why? Naho must decide what to make of the letter and its cryptic warning, and what it means not only for her future, but for Kakeru's as well.",82.18,8.22,363,76,"[""Drama"", ""Romance"", ""School Life"", ""Science Fiction"", ""Shoujo""]",[],"[""Drama"", ""Romance"", ""School Life"", ""Science Fiction"", ""Shoujo""]"
14180,monster-musume-no-iru-nichijou,current,Monster Musume no Iru Nichijou,Monster Musume,モンスター娘のいる日常,monster musume no iru nichijou,monster musume,monsuta niang noiruri chang,"In a modern world where beast people exist and live with other humans, they have a regular household where a student lives with a lamia named Miia. The student, Kurusu Kimihito, came to live with Miia because of the culture exchange that has been going on with humans and sub-species alike. This is their story.",76.41,7.64,2684,177,"[""Comedy"", ""Ecchi"", ""Fantasy"", ""Harem"", ""Japan"", ""Juujin"", ""Romance"", ""Seinen"", ""Slice of Life""]","[""Comedy"", ""Ecchi"", ""Fantasy"", ""Harem"", ""Romance"", ""Slice of Life"", ""Thriller""]","[""Comedy"", ""Ecchi"", ""Fantasy"", ""Harem"", ""Japan"", ""Juujin"", ""Romance"", ""Seinen"", ""Slice of Life"", ""Thriller""]"
14916,shingeki-no-kyojin,finished,Attack on Titan,Attack on Titan,進撃の巨人,attack on titan,attack on titan,jin ji noju ren,"A century ago, the grotesque giants known as Titans appeared and consumed all but a few thousand humans. The survivors took refuge behind giant walls. Today, the threat of the Titans is a distant memory, and a boy named Eren yearns to explore the world beyond Wall Maria. But what began as a childish dream will become an all-too-real nightmare when the Titans return and humanity is once again on the brink of extinction … Attack on Titan is the award-winning and New York Times-bestselling series that is the manga hit of the decade! Spawning the monster hit anime TV series of the same name, Attack on Titan has become a pop culture sensation. Volume 3 contains the special story ""Rivai Heishichou"" (リヴァイ兵士長, Captain Levi). Volume 5 contains the side story ""Ilse no Techou"" (イルゼの手帳, Ilse's Notebook).",84.15,8.42,25,4,"[""Action"", ""Drama"", ""Fantasy"", ""Horror"", ""Mystery"", ""Shounen"", ""Super Power""]","[""Action"", ""Drama"", ""Fantasy"", ""Horror"", ""Mystery"", ""Super Power"", ""Supernatural""]","[""Action"", ""Drama"", ""Fantasy"", ""Horror"", ""Mystery"", ""Shounen"", ""Super Power"", ""Supernatural""]"
