list_name,fetched_at_ts,endpoint,kitsu_id,position,list_rank,trend_rank
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,8777,73,73.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,9855,74,74.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,1329,75,75.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,13243,76,76.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,983,77,77.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,906,78,78.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,6490,79,79.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,2811,80,80.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,1282,81,81.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,18205,82,82.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,1984,83,83.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,27324,84,84.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,7375,85,85.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,19217,86,86.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,11777,87,87.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,56452,88,88.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,38449,89,89.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,40439,90,90.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,36446,91,91.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,10979,92,92.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,30463,93,93.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,20582,94,94.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,17413,95,95.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,40961,96,96.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,18123,97,97.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,2435,98,98.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,133,99,99.0,
most_popular,2025-12-13 20:32:51+00:00,manga?sort=popularityRank,40324,100,100.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,38,1,2.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,24147,2,10.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,68,3,19.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,8,4,5.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,8549,5,59.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,54448,6,7.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,40121,7,23.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,5927,8,142.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,24155,9,433.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,35483,10,108.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,11152,11,133.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,272,12,88.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,25356,13,189.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,25436,14,398.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,27527,15,1916.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,9855,16,160.0,
